"Suspect","Reported_Age","Day_of_Arrest","Time_of_Arrest","measured_BAC"
113,"25",2023-06-18,3.5,0.111
114,"NA",2023-06-20,22.5,0.129
115,"NA",2023-06-21,7,0.117
116,"58",2023-06-23,4.5,0.12
117,"58",2023-06-24,15,0.127
118,"22",2023-06-25,22,0.129
119,"63",2023-06-27,1,0.126
120,"29",2023-06-28,4,0.105
121,"60",2023-07-01,2,0.077
122,"62",2023-07-02,5,0.121
123,"29",2023-07-03,6,0.106
124,"51",2023-07-04,18,0.111
125,"47",2023-07-06,0.5,0.105
126,"19",2023-07-07,4,0.092
127,"40",2023-07-09,15.5,0.109
128,"21",2023-07-10,2.5,0.084
129,"56",2023-07-11,1.5,0.12
130,"66",2023-07-13,0.5,0.12
131,"19",2023-07-15,6.5,0.126
132,"21",2023-07-17,3.5,0.118
133,"30",2023-07-18,5,0.116
134,"40",2023-07-19,3,0.12
135,"19",2023-07-21,2,0.076
136,"19",2023-07-22,5.5,0.087
137,"62",2023-07-25,16,0.103
138,"61",2023-07-26,23.5,0.107
139,"19",2023-07-28,23.5,0.103
140,"62",2023-07-31,12.5,0.124
141,"39",2023-08-01,18.5,0.128
142,"26",2023-08-03,0.5,0.127
143,"52",2023-08-04,1,0.114
144,"62",2023-08-05,23.5,0.073
145,"49",2023-08-06,5,0.122
146,"44",2023-08-08,5.5,0.113
147,"28",2023-08-09,2.5,0.126
148,"39",2023-08-10,1.5,0.105
149,"51",2023-08-11,0,0.106
150,"56",2023-08-12,1,0.073
151,"39",2023-08-13,23.5,0.119
152,"26",2023-08-15,5.5,0.108
153,"28",2023-08-16,23,0.106
154,"42",2023-08-17,0,0.105
155,"68",2023-08-19,3.5,0.126
156,"49",2023-08-20,2,0.089
157,"60",2023-08-21,1,0.107
158,"42",2023-08-24,1.5,0.1
159,"55",2023-08-26,7.5,0.104
160,"37",2023-08-29,5.5,0.118
161,"57",2023-08-30,0.5,0.123
162,"42",2023-08-31,6,0.13
163,"68",2023-09-02,12,0.084
164,"42",2023-09-03,3,0.115
165,"60",2023-09-04,23,0.127
166,"58",2023-09-05,2.5,0.089
167,"21",2023-09-06,3,0.126
168,"34",2023-09-07,2.5,0.104
169,"45",2023-09-10,10,0.124
170,"44",2023-09-11,1,0.103
171,"66",2023-09-13,0.5,0.084
172,"40",2023-09-14,1,0.064
173,"47",2023-09-15,4.5,0.116
174,"NA",2023-09-16,17,0.114
175,"22",2023-09-19,4.5,0.112
176,"50",2023-09-20,23,0.102
177,"62",2023-09-22,0.5,0.128
178,"53",2023-09-23,4.5,0.115
179,"35",2023-09-25,21.5,0.13
180,"46",2023-09-26,23.5,0.055
181,"69",2023-09-27,23,0.121
182,"50",2023-09-28,0.5,0.117
183,"48",2023-09-29,20,0.128
184,"53",2023-09-30,0.5,0.123
185,"NA",2023-10-01,13.5,0.108
186,"28",2023-10-03,0.5,0.092
187,"52",2023-10-04,15.5,0.126
188,"51",2023-10-05,5,0.101
189,"NA",2023-10-06,0,0.127
190,"25",2023-10-08,23.5,0.093
191,"44",2023-10-09,5,0.119
192,"60",2023-10-10,5,0.111
193,"23",2023-10-11,5,0.091
194,"62",2023-10-12,3.5,0.126
195,"57",2023-10-13,2.5,0.098
196,"55",2023-10-14,4.5,0.109
197,"32",2023-10-15,23,0.114
198,"30",2023-10-17,7.5,0.124
199,"36",2023-10-18,1.5,0.108
200,"32",2023-10-21,14,0.123
201,"24",2023-10-22,3.5,0.116
202,"NA",2023-10-24,2,0.12
203,"61",2023-10-25,3,0.084
204,"56",2023-10-28,23.5,0.103
205,"NA",2023-10-29,7.5,0.101
206,"29",2023-10-30,5,0.105
207,"37",2023-10-31,0.5,0.119
208,"19",2023-11-04,1.5,0.111
209,"38",2023-11-05,5,0.098
210,"20",2023-11-06,1,0.124
211,"51",2023-11-09,8.5,0.121
212,"29",2023-11-10,23,0.127
213,"69",2023-11-11,1,0.118
214,"30",2023-11-14,0,0.118
215,"32",2023-11-15,1,0.099
216,"53",2023-11-16,4.5,0.098
217,"54",2023-11-17,4,0.126
218,"54",2023-11-18,1.5,0.09
219,"67",2023-11-19,0.5,0.118
220,"62",2023-11-20,10.5,0.122
221,"44",2023-11-22,0.5,0.101
222,"55",2023-11-23,9.5,0.126
223,"29",2023-11-25,19.5,0.114
224,"62",2023-11-26,9.5,0.11
225,"45",2023-11-27,3.5,0.121
226,"52",2023-11-28,2,0.087
227,"NA",2023-12-01,2.5,0.128
228,"26",2023-12-03,6.5,0.127
229,"28",2023-12-04,19.5,0.125
230,"66",2023-12-05,7.5,0.121
231,"NA",2023-12-08,4.5,0.064
232,"46",2023-12-10,0,0.116
233,"67",2023-12-11,22,0.114
234,"65",2023-12-12,16.5,0.102
235,"52",2023-12-13,6.5,0.098
236,"62",2023-12-14,7.5,0.099
237,"58",2023-12-15,3.5,0.122
238,"23",2023-12-16,2.5,0.094
239,"58",2023-12-20,1,0.098
240,"NA",2023-12-21,23,0.087
241,"53",2023-12-24,1,0.116
242,"NA",2023-12-27,0,0.094
243,"65",2023-12-28,2,0.114
244,"42",2023-12-29,0,0.096
245,"30",2023-12-30,7.5,0.106
246,"25",2023-12-31,0,0.111
247,"38",2024-01-02,3.5,0.092
248,"34",2024-01-03,2.5,0.122
249,"41",2024-01-05,3,0.116
250,"22",2024-01-06,1,0.122
251,"54",2024-01-07,23.5,0.118
252,"31",2024-01-08,6.5,0.119
253,"23",2024-01-09,22.5,0.118
254,"20",2024-01-10,1.5,0.117
255,"31",2024-01-11,1.5,0.112
256,"44",2024-01-12,6.5,0.102
257,"44",2024-01-14,7.5,0.089
258,"41",2024-01-15,0,0.121
259,"32",2024-01-17,1.5,0.117
260,"62",2024-01-18,23,0.112
261,"67",2024-01-19,10.5,0.119
262,"68",2024-01-21,4.5,0.129
263,"59",2024-01-22,14,0.117
264,"28",2024-01-23,1.5,0.088
265,"19",2024-01-24,18.5,0.125
266,"35",2024-01-26,22.5,0.096
267,"54",2024-01-27,0.5,0.123
268,"55",2024-01-28,5.5,0.098
269,"50",2024-01-29,3.5,0.112
270,"50",2024-01-31,17.5,0.129
271,"64",2024-02-01,3,0.113
272,"26",2024-02-02,4.5,0.116
273,"38",2024-02-03,23,0.126
274,"24",2024-02-04,14.5,0.127
275,"65",2024-02-05,2,0.124
276,"53",2024-02-06,4.5,0.129
277,"37",2024-02-07,22.5,0.121
278,"49",2024-02-08,5,0.121
279,"50",2024-02-09,5,0.122
280,"56",2024-02-11,4,0.101
281,"48",2024-02-12,17,0.129
282,"20",2024-02-13,3.5,0.11
283,"44",2024-02-14,1.5,0.077
284,"46",2024-02-16,0,0.124
285,"64",2024-02-20,4,0.128
286,"52",2024-02-21,3.5,0.129
287,"63",2024-02-22,2,0.114
288,"26",2024-02-23,2,0.101
289,"36",2024-02-24,7,0.13
290,"21",2024-02-25,2.5,0.124
291,"62",2024-02-26,23.5,0.096
292,"22",2024-02-27,23.5,0.126
293,"57",2024-02-29,6.5,0.103
294,"55",2024-03-01,1,0.13
295,"41",2024-03-02,0.5,0.084
296,"38",2024-03-03,3,0.101
297,"28",2024-03-07,0,0.121
298,"54",2024-03-08,6.5,0.117
299,"47",2024-03-09,3,0.12
300,"48",2024-03-11,22,0.128
301,"46",2024-03-12,4,0.125
302,"47",2024-03-13,3.5,0.115
303,"41",2024-03-16,4.5,0.107
304,"29",2024-03-17,6,0.128
305,"23",2024-03-21,16.5,0.122
306,"37",2024-03-22,4.5,0.086
307,"68",2024-03-23,4,0.099
308,"56",2024-03-25,20,0.111
309,"62",2024-03-26,5.5,0.127
310,"26",2024-03-27,1,0.083
311,"27",2024-03-28,23.5,0.129
312,"58",2024-03-29,0.5,0.077
313,"37",2024-03-30,0.5,0.128
314,"47",2024-03-31,23,0.119
315,"68",2024-04-03,3.5,0.125
316,"42",2024-04-07,3.5,0.123
317,"37",2024-04-09,1,0.086
318,"51",2024-04-12,3.5,0.108
319,"55",2024-04-13,5.5,0.126
320,"26",2024-04-16,4,0.128
321,"52",2024-04-17,15,0.102
322,"44",2024-04-18,4,0.119
323,"53",2024-04-19,3,0.124
324,"36",2024-04-22,4,0.129
325,"50",2024-04-23,3,0.105
326,"67",2024-04-24,0.5,0.122
327,"NA",2024-04-25,23.5,0.095
328,"NA",2024-04-26,2,0.118
329,"NA",2024-04-27,19,0.129
330,"25",2024-04-29,1.5,0.108
331,"46",2024-05-03,2.5,0.11
332,"55",2024-05-04,4.5,0.125
333,"21",2024-05-06,4,0.084
334,"67",2024-05-07,7,0.107
335,"NA",2024-05-08,22.5,0.124
336,"42",2024-05-09,7,0.129
337,"31",2024-05-10,6.5,0.096
338,"28",2024-05-11,3.5,0.12
339,"67",2024-05-14,6.5,0.13
340,"40",2024-05-16,3.5,0.1
341,"63",2024-05-17,2.5,0.101
342,"53",2024-05-18,1,0.063
343,"NA",2024-05-19,3.5,0.115
344,"45",2024-05-20,4.5,0.086
345,"53",2024-05-21,11,0.116
346,"46",2024-05-22,1.5,0.124
347,"65",2024-05-24,21.5,0.107
348,"23",2024-05-25,3.5,0.108
349,"57",2024-05-27,23,0.122
350,"38",2024-05-29,5,0.116
351,"66",2024-05-30,10.5,0.124
352,"48",2024-05-31,0.5,0.122
353,"52",2024-06-01,3.5,0.11
354,"41",2024-06-05,22.5,0.128
355,"52",2024-06-06,0,0.11
356,"42",2024-06-07,4,0.123
357,"44",2024-06-08,6.5,0.116
358,"NA",2024-06-09,22.5,0.119
359,"27",2024-06-10,3.5,0.128
360,"56",2024-06-11,4,0.103
361,"52",2024-06-14,5,0.129
362,"40",2024-06-15,3.5,0.119
363,"28",2024-06-16,5,0.101
364,"22",2024-06-17,22,0.122
365,"61",2024-06-19,11,0.101
366,"65",2024-06-21,6.5,0.125
367,"41",2024-06-22,0,0.086
368,"66",2024-06-25,21,0.127
369,"41",2024-06-26,4.5,0.129
370,"30",2024-07-01,5,0.121
371,"52",2024-07-02,2.5,0.122
372,"23",2024-07-03,3.5,0.125
373,"51",2024-07-04,0.5,0.093
374,"40",2024-07-05,1,0.092
375,"28",2024-07-06,13.5,0.118
376,"45",2024-07-07,23,0.089
377,"28",2024-07-08,6,0.125
378,"NA",2024-07-09,3,0.122
379,"56",2024-07-10,3,0.123
380,"NA",2024-07-12,23.5,0.081
381,"31",2024-07-13,16,0.127
382,"NA",2024-07-14,23.5,0.123
383,"47",2024-07-15,6,0.128
384,"52",2024-07-16,0,0.123
385,"35",2024-07-17,10.5,0.127
386,"60",2024-07-19,22.5,0.117
387,"23",2024-07-20,2.5,0.102
388,"51",2024-07-23,22,0.118
389,"51",2024-07-24,0.5,0.1
390,"24",2024-07-25,6.5,0.123
391,"NA",2024-07-26,23.5,0.099
392,"30",2024-07-27,10,0.13
393,"34",2024-07-28,5,0.114
394,"NA",2024-07-30,4.5,0.097
395,"52",2024-08-01,2.5,0.125
396,"43",2024-08-02,0.5,0.08
397,"25",2024-08-03,4.5,0.101
398,"21",2024-08-05,22,0.124
399,"62",2024-08-07,6.5,0.114
400,"26",2024-08-09,17.5,0.124
401,"62",2024-08-10,0.5,0.101
402,"38",2024-08-13,3.5,0.098
403,"NA",2024-08-14,22,0.11
404,"NA",2024-08-15,4,0.115
405,"42",2024-08-16,13.5,0.117
406,"64",2024-08-17,1.5,0.084
407,"56",2024-08-18,7,0.089
408,"21",2024-08-19,2,0.111
409,"29",2024-08-20,0,0.122
410,"56",2024-08-21,17.5,0.108
411,"46",2024-08-22,1.5,0.079
412,"62",2024-08-24,21.5,0.11
413,"55",2024-08-26,23.5,0.072
414,"45",2024-08-27,2,0.125
415,"40",2024-08-29,2.5,0.08
416,"52",2024-08-31,1,0.082
417,"44",2024-09-04,2.5,0.116
418,"68",2024-09-06,1,0.099
419,"24",2024-09-07,9.5,0.109
420,"56",2024-09-09,4.5,0.085
421,"34",2024-09-10,7,0.092
422,"46",2024-09-11,15,0.124
423,"24",2024-09-12,7.5,0.098
424,"50",2024-09-13,6.5,0.123
425,"69",2024-09-14,5.5,0.075
426,"29",2024-09-15,1.5,0.098
427,"39",2024-09-16,6.5,0.123
428,"52",2024-09-17,7,0.104
429,"46",2024-09-18,0.5,0.085
430,"34",2024-09-19,3,0.103
431,"66",2024-09-20,4,0.113
432,"45",2024-09-21,14,0.119
433,"53",2024-09-22,9.5,0.123
434,"65",2024-09-23,4,0.126
435,"32",2024-09-24,23.5,0.109
436,"68",2024-09-25,6.5,0.121
437,"31",2024-09-27,5.5,0.099
438,"23",2024-09-28,5.5,0.107
439,"48",2024-09-29,2,0.116
440,"20",2024-10-01,19.5,0.13
441,"NA",2024-10-03,1.5,0.092
442,"24",2024-10-04,0,0.12
443,"38",2024-10-06,12,0.129
444,"46",2024-10-07,23,0.099
445,"46",2024-10-08,1,0.104
446,"44",2024-10-09,23,0.114
447,"53",2024-10-10,7,0.096
448,"44",2024-10-12,3,0.102
449,"63",2024-10-14,0,0.122
450,"NA",2024-10-15,2.5,0.126
451,"69",2024-10-16,12,0.122
452,"NA",2024-10-18,4,0.105
453,"54",2024-10-19,11,0.126
454,"NA",2024-10-20,23,0.123
455,"30",2024-10-21,16.5,0.126
456,"25",2024-10-24,2,0.094
457,"32",2024-10-25,2,0.122
458,"53",2024-10-27,0,0.128
459,"21",2024-10-28,13.5,0.128
460,"66",2024-10-29,23.5,0.128
461,"51",2024-10-30,4,0.076
462,"33",2024-10-31,4,0.096
463,"22",2024-11-01,3,0.117
464,"32",2024-11-02,2.5,0.076
465,"54",2024-11-03,0.5,0.122
466,"60",2024-11-04,23,0.086
467,"64",2024-11-08,3,0.126
468,"41",2024-11-11,0.5,0.124
469,"40",2024-11-13,1.5,0.086
470,"64",2024-11-15,22.5,0.126
471,"69",2024-11-16,5.5,0.111
472,"NA",2024-11-17,23,0.117
473,"40",2024-11-18,3.5,0.097
474,"55",2024-11-20,7,0.129
475,"49",2024-11-21,23,0.119
476,"35",2024-11-22,23,0.127
477,"55",2024-11-23,2,0.106
478,"30",2024-11-26,23,0.127
479,"NA",2024-11-28,23.5,0.097
480,"63",2024-11-29,10.5,0.11
481,"38",2024-11-30,5.5,0.123
482,"59",2024-12-01,21.5,0.126
483,"NA",2024-12-02,22.5,0.126
484,"NA",2024-12-03,3.5,0.124
485,"42",2024-12-04,3.5,0.1
486,"21",2024-12-05,21.5,0.099
487,"64",2024-12-06,4.5,0.128
488,"33",2024-12-07,3,0.095
489,"NA",2024-12-10,21.5,0.099
490,"47",2024-12-11,7.5,0.087
491,"64",2024-12-12,23.5,0.105
492,"61",2024-12-13,12,0.122
493,"20",2024-12-14,1.5,0.113
494,"32",2024-12-16,4.5,0.118
495,"20",2024-12-17,3,0.12
496,"58",2024-12-18,20,0.129
497,"64",2024-12-23,1,0.128
498,"29",2024-12-26,3,0.102
499,"35",2024-12-27,5,0.101
500,"41",2024-12-28,6,0.106
501,"42",2024-12-30,3,0.114
502,"62",2024-12-31,8,0.105
503,"49",2025-01-01,4,0.118
504,"58",2025-01-02,23,0.117
505,"52",2025-01-03,4.5,0.107
506,"60",2025-01-06,23,0.126
507,"52",2025-01-09,13,0.126
508,"51",2025-01-11,1,0.112
509,"19",2025-01-12,5,0.127
510,"69",2025-01-13,5.5,0.072
511,"NA",2025-01-14,4,0.11
512,"37",2025-01-17,9,0.101
513,"66",2025-01-20,23,0.128
514,"NA",2025-01-21,0.5,0.122
515,"32",2025-01-22,3.5,0.099
516,"67",2025-01-23,22.5,0.126
517,"40",2025-01-24,2,0.105
518,"56",2025-01-26,23.5,0.118
519,"51",2025-01-27,4.5,0.099
520,"46",2025-01-28,4.5,0.077
521,"NA",2025-01-29,4.5,0.106
522,"26",2025-01-30,0.5,0.12
523,"64",2025-01-31,2,0.122
524,"NA",2025-02-01,1.5,0.097
525,"63",2025-02-02,5,0.102
526,"NA",2025-02-03,6.5,0.126
527,"NA",2025-02-04,6,0.092
528,"53",2025-02-06,6,0.116
529,"46",2025-02-08,1.5,0.124
530,"NA",2025-02-09,2.5,0.128
531,"66",2025-02-10,18,0.111
532,"67",2025-02-11,5.5,0.117
533,"36",2025-02-13,6.5,0.104
534,"61",2025-02-14,4.5,0.09
535,"60",2025-02-15,16.5,0.122
536,"60",2025-02-17,4,0.088
537,"31",2025-02-18,5,0.061
538,"20",2025-02-19,1,0.095
539,"53",2025-02-20,3,0.111
540,"37",2025-02-22,23.5,0.106
541,"69",2025-02-23,1.5,0.129
542,"43",2025-02-24,4,0.122
543,"56",2025-02-25,4.5,0.113
544,"38",2025-02-27,2,0.11
545,"35",2025-02-28,0.5,0.114
546,"63",2025-03-01,12.5,0.13
547,"29",2025-03-02,16,0.116
548,"45",2025-03-03,5.5,0.091
549,"64",2025-03-04,5,0.122
550,"63",2025-03-06,0,0.125
551,"35",2025-03-07,3,0.126
552,"53",2025-03-09,21.5,0.118
553,"45",2025-03-10,5,0.11
554,"38",2025-03-11,2.5,0.123
555,"21",2025-03-13,21,0.128
556,"47",2025-03-14,17,0.092
557,"27",2025-03-15,23,0.117
558,"39",2025-03-18,1.5,0.129
559,"41",2025-03-19,5,0.102
560,"56",2025-03-20,5.5,0.118
561,"36",2025-03-21,3.5,0.124
562,"42",2025-03-24,16.5,0.115
563,"26",2025-03-25,0.5,0.11
564,"45",2025-03-27,3,0.124
565,"52",2025-03-29,4.5,0.117
566,"56",2025-03-30,2,0.122
567,"NA",2025-03-31,1,0.13
568,"33",2025-04-01,0,0.094
569,"67",2025-04-02,9.5,0.078
570,"41",2025-04-03,1.5,0.124
571,"47",2025-04-04,3,0.11
572,"51",2025-04-05,1.5,0.1
573,"42",2025-04-07,1,0.113
574,"44",2025-04-08,6.5,0.121
575,"23",2025-04-10,3,0.118
576,"21",2025-04-11,23,0.122
577,"66",2025-04-13,6.5,0.12
578,"65",2025-04-14,2.5,0.122
579,"46",2025-04-15,1,0.127
580,"NA",2025-04-17,1.5,0.111
581,"39",2025-04-18,4,0.105
582,"67",2025-04-19,0.5,0.11
583,"61",2025-04-20,5,0.123
584,"64",2025-04-21,8.5,0.124
585,"31",2025-04-22,3,0.118
586,"37",2025-04-23,22.5,0.12
587,"33",2025-04-25,4,0.104
588,"30",2025-04-26,17.5,0.12
589,"NA",2025-04-27,5,0.116
590,"23",2025-04-29,0,0.102
591,"NA",2025-04-30,12,0.121
592,"36",2025-05-01,3,0.126
593,"58",2025-05-02,2.5,0.122
594,"28",2025-05-04,4.5,0.098
595,"48",2025-05-05,17.5,0.112
596,"48",2025-05-06,0,0.117
597,"25",2025-05-07,4.5,0.099
598,"57",2025-05-08,9.5,0.126
599,"22",2025-05-09,0,0.107
600,"53",2025-05-11,23.5,0.109
601,"22",2025-05-12,4.5,0.129
602,"51",2025-05-13,1,0.086
603,"38",2025-05-14,4,0.128
604,"50",2025-05-15,3.5,0.108
605,"20",2025-05-19,2,0.119
606,"55",2025-05-20,19,0.084
607,"47",2025-05-22,2.5,0.13
608,"51",2025-05-23,3.5,0.104
609,"55",2025-05-24,3.5,0.129
610,"NA",2025-05-25,2,0.12
611,"47",2025-05-26,21.5,0.111
612,"45",2025-05-28,4,0.107
613,"68",2025-06-04,2.5,0.075
614,"57",2025-06-05,15,0.125
615,"40",2025-06-06,4.5,0.116
616,"34",2025-06-08,23,0.123
617,"23",2025-06-09,3,0.11
618,"65",2025-06-10,4.5,0.115
619,"45",2025-06-11,7.5,0.084
620,"NA",2025-06-12,4.5,0.099
621,"36",2025-06-13,2.5,0.072
622,"42",2025-06-17,4.5,0.11
623,"NA",2025-06-19,1.5,0.115
624,"NA",2025-06-20,4.5,0.108
625,"43",2025-06-21,12,0.129
626,"45",2025-06-22,3,0.121
627,"NA",2025-06-23,12.5,0.084
628,"54",2025-06-24,18.5,0.127
629,"25",2025-06-25,3,0.108
630,"22",2025-06-27,4.5,0.116
631,"26",2025-06-28,3,0.121
632,"40",2025-07-01,3.5,0.118
633,"28",2025-07-05,22,0.112
634,"19",2025-07-06,0.5,0.078
635,"25",2025-07-07,5.5,0.13
636,"41",2025-07-08,1,0.101
637,"29",2025-07-09,5.5,0.082
638,"65",2025-07-10,0.5,0.126
639,"35",2025-07-13,3.5,0.094
640,"56",2025-07-15,4,0.055
641,"29",2025-07-16,4.5,0.101
642,"NA",2025-07-18,6.5,0.112
643,"32",2025-07-21,0.5,0.123
644,"NA",2025-07-22,1.5,0.116
645,"69",2025-07-23,1,0.104
646,"50",2025-07-25,0,0.109
647,"38",2025-07-26,2,0.126
648,"66",2025-07-27,23.5,0.123
649,"63",2025-07-28,3,0.062
650,"49",2025-07-31,3.5,0.077
651,"50",2025-08-01,23.5,0.119
652,"NA",2025-08-03,11.5,0.093
653,"30",2025-08-04,23.5,0.11
654,"38",2025-08-05,0,0.124
655,"32",2025-08-06,23,0.127
656,"58",2025-08-09,4,0.129
657,"66",2025-08-10,0.5,0.12
658,"36",2025-08-11,2,0.089
659,"52",2025-08-12,2,0.103
660,"42",2025-08-18,1,0.119
661,"29",2025-08-19,22.5,0.122
662,"46",2025-08-20,21.5,0.119
663,"46",2025-08-21,2.5,0.092
664,"NA",2025-08-22,5.5,0.123
665,"43",2025-08-23,5,0.085
666,"NA",2025-08-25,4,0.126
667,"57",2025-08-26,5,0.127
668,"49",2025-08-27,15,0.127
669,"NA",2025-08-28,3.5,0.095
670,"29",2025-08-30,4,0.12
671,"55",2025-08-31,1.5,0.117
672,"37",2025-09-01,0,0.127
673,"26",2025-09-02,4.5,0.125
674,"34",2025-09-03,6,0.087
675,"NA",2025-09-05,1.5,0.119
676,"NA",2025-09-06,21.5,0.122
677,"32",2025-09-08,1.5,0.124
678,"28",2025-09-09,2,0.078
679,"31",2025-09-11,4,0.115
680,"54",2025-09-13,23,0.115
681,"56",2025-09-14,3.5,0.107
682,"NA",2025-09-15,5.5,0.125
683,"56",2025-09-16,2,0.113
684,"24",2025-09-17,12.5,0.127
685,"44",2025-09-18,3,0.109
686,"19",2025-09-19,1,0.091
687,"19",2025-09-20,3,0.118
688,"28",2025-09-21,4,0.108
689,"51",2025-09-22,3.5,0.092
690,"58",2025-09-23,2.5,0.126
691,"30",2025-09-24,3,0.129
692,"53",2025-09-25,7.5,0.098
693,"50",2025-09-26,2,0.118
694,"38",2025-09-28,0,0.125
695,"NA",2025-10-03,4,0.093
696,"58",2025-10-04,3,0.119
697,"48",2025-10-06,5.5,0.123
698,"19",2025-10-07,0.5,0.083
699,"51",2025-10-08,0,0.12
700,"48",2025-10-10,3,0.107
701,"NA",2025-10-11,5.5,0.119
702,"62",2025-10-12,23.5,0.107
703,"21",2025-10-14,1,0.119
704,"39",2025-10-16,5,0.118
705,"49",2025-10-18,5,0.113
706,"60",2025-10-20,5.5,0.097
707,"64",2025-10-21,19.5,0.125
708,"32",2025-10-24,23,0.104
709,"33",2025-10-25,19.5,0.123
710,"NA",2025-10-26,23.5,0.104
711,"49",2025-10-27,2.5,0.127
712,"47",2025-10-28,4.5,0.121
713,"51",2025-10-29,2,0.088
714,"64",2025-10-30,1,0.119
715,"NA",2025-10-31,2,0.114
716,"20",2025-11-01,23.5,0.064
717,"33",2025-11-03,2,0.121
718,"68",2025-11-04,1.5,0.097
719,"32",2025-11-05,5,0.108
720,"40",2025-11-06,4,0.103
721,"19",2025-11-07,11,0.113
722,"38",2025-11-08,15,0.111
723,"NA",2025-11-11,2,0.07
724,"54",2025-11-12,3.5,0.128
725,"NA",2025-11-14,0,0.11
726,"69",2025-11-15,1,0.093
